id,firstName,middleNames,surname,nickname,dob,uniqueAchievement,wikiLink
39,Russell,Louis,Schweickart, Rusty,1935-10-25,,Rusty_Schweickart
40,David ,Randolph,Scott,,1932-06-06,,David_Scott
41,Anatoly,Vasiliyevich,Filipchenko,,1928-02-26,,Anatoly_Filipchenko
42,Viktor,Vasiliyevich,Gorbatko,,1934-12-03,,Viktor_Gorbatko
43,Valeri,Nikolayevich,Kubasov,,1935-01-07,,Valeri_Kubasov
44,Georgy,Stepanovich,Shonin,,1935-08-03,,Georgy_Shonin
45,Vladislav ,Nikolayevich,Volkov,,1935-11-23,Died in Soyuz 11 Disaster,Vladislav_Volkov
46,Alan ,LaVern,Bean,,1932-03-15,,Alan_Bean
47,Fred,Wallace,Haise,,1933-11-14,,Fred_Haise
48,John,Leonard,Swigert,Jack,1931-08-30,,Jack_Swigert
49,Vitaly,Ivanovich,Sevastyanov,,1935-07-08,,Vitaly_Sevastyanov
50,Edgar,Dean,Mitchell,Ed,1930-09-17,,Edgar_Mitchell
51,Stuart,Allen,Roosa,Stu,1933-08-16,,Stuart_Roosa
52,Nikolai,Nikolayevich,Rukavishnikov,,1932-09-18,,Nikolai_Rukavishnikov
53,Georgy,Timofeyevich,Dobrovolsky,,1928-06-01,Died in Soyuz 11 Disaster,Georgy_Dobrovolsky
54,Viktor,Ivanovich,Patsayev,,1933-06-19,Died in Soyuz 11 Disaster,Viktor_Patsayev
55,James,Benson,Irwin,,1930-03-17,,James_Irwin
56,Alfred,Merrill,Worden,,1932-02-07,,Alfred_Worden
57,Charles,Moss,Duke,Chuck,1935-10-03,,Charles_Duke
58,Thomas ,Kenneth,Mattingly,Ken,1936-03-17,,Ken_Mattingly
59,Ronald ,Ellwin,Evans,Ron,1933-11-10,,Ronald_Evans_(astronaut)
60,Harrison ,Hagan,Schmitt,Jack,1935-07-03,Last man on the Moon,Harrison_Schmitt
61,Joseph,Peter,Kerwin,,1932-02-19,,Joseph_Kerwin
62,Paul,Joseph,Weitz,,1932-07-25,,Paul_J._Weitz
63,Owen,Kay,Garriott,,1930-11-22,,Owen_Garriott
64,Jack,Robert,Lousma,,1936-02-29,,Jack_Lousma
65,Vasily,Grigoriyevich,Lazarev,,1928-02-23,,Vasily_Lazarev
66,Oleg,Grigoriyevich,Makarov,,1933-01-06,,Oleg_Grigoryevich_Makarov
67,Gerald,Paul,Carr,Jerry,1932-08-22,,Gerald_Carr_(astronaut)
68,Edward,George,Gibson,,1936-11-08,,Edward_Gibson
69,William,Reid,Pogue,,1930-01-23,,William_R._Pogue
70,Pyotr,Ilyich,Klimuk,,1942-07-10,,Pyotr_Klimuk
71,Valentin,Vitalyevich,Lebedev,,1942-04-14,,Valentin_Lebedev
72,Yuri,Petrovich,Artyukhin,,1930-06-22,,Yuri_Artyukhin
73,Gennadi,Vasiliyevich,Sarafanov,,1942-01-01,,Gennady_Sarafanov
74,Lev ,Stepanovich,Dyomin,,1926-01-11,,Lev_Dyomin
75,Aleksei,Aleksandrovich,Gubarev,,1931-03-29,,Aleksei_Gubarev
76,Georgy,Mikhailovich,Grechko,,1931-05-25,,Georgy_Grechko
77,Vance,DeVoe,Brand,,1931-05-09,,Vance_D._Brand
78,Donald,Kent,Slayton,Deke,1924-03-01,,Deke_Slayton
